index,tid,loc_name,loc_number,loc_type,address_1,city,state,neighborhood,postal_code,phone_1,phone_2,latitude,longitude,hours_of_operation,services_included,RunDate,InsertUpdateTime,RunID
0,14185,北京国服信汽车贸易有限公司,2100504,4S店,北京市朝阳区来广营西路108号,北京市,北京市,朝阳区,110105,010-84902229,010-84902228,40.021516,116.418881,9:00-18:00,"['新能源', '自营', '市场活动', '二手车', '售后业务全功能', '售后预约资源功能', '线上市场活动', '代理直销', '智慧网销', 'MEB快捷签', 'ICE快捷签', 'NGA智慧网销', '试乘试驾新UI', 'NGA经销商端小程序标签', 'ICE小程序标签', '深度试驾', 'ICE经销商', '腾讯效果广告']",2022-05-03 08:21:05,2022-05-03 08:21:09,46278
1,14186,北京万通洪力汽车销售服务有限公司,2101604,4S店,北京市大兴区旧宫镇旧忠路北东甲3号,北京市,北京市,大兴区,110115,010-87917171,010-87915001,39.799135,116.450825,9:00-18:00,"['新能源', '自营', '市场活动', '售后业务全功能', '售后预约资源功能', '线上市场活动', '代理直销', '智慧网销', 'MEB快捷签', 'ICE快捷签', 'NGA智慧网销', '试乘试驾新UI', 'NGA经销商端小程序标签', 'ICE小程序标签', '深度试驾', 'ICE经销商', '腾讯效果广告']",2022-05-03 08:21:05,2022-05-03 08:21:09,46278
2,14187,北京页川汽车销售服务有限公司,2100817,4S店,北京市朝阳区成寿寺路133号,北京市,北京市,朝阳区,110105,010-67669090,010-67676766,39.8421,116.446601,9:00-18:00,"['新能源', '自营', '市场活动', '二手车', '售后业务全功能', '售后预约资源功能', '线上市场活动', '智慧网销', 'MEB快捷签', 'ICE快捷签', '试乘试驾新UI', 'ICE小程序标签', 'ICE经销商']",2022-05-03 08:21:05,2022-05-03 08:21:09,46278
3,14188,北京上汽丰华汽车销售服务有限公司,2100302,4S店,北京市丰台区青塔西路46号,北京市,北京市,丰台区,110106,010-68159199,010-68156868,39.885003,116.265376,9:00-18:00,"['新能源', '自营', '市场活动', '售后业务全功能', '售后预约资源功能', '线上市场活动', '代理直销', '智慧网销', 'MEB快捷签', 'ICE快捷签', 'NGA智慧网销', '试乘试驾新UI', 'NGA经销商端小程序标签', 'ICE小程序标签', '深度试驾', 'ICE经销商', '腾讯效果广告']",2022-05-03 08:21:05,2022-05-03 08:21:09,46278
4,14189,北京页川瑞德汽车销售服务有限公司,2100307,4S店,北京市海淀区安宁庄东路15号,北京市,北京市,海淀区,110108,010-62959090,010-62959090,40.042026,116.330455,9:00-18:00,"['新能源', '自营', '市场活动', '二手车', '售后业务全功能', '售后预约资源功能', '线上市场活动', '代理直销', '智慧网销', 'MEB快捷签', 'ICE快捷签', 'NGA智慧网销', '试乘试驾新UI', 'NGA经销商端小程序标签', 'ICE小程序标签', '深度试驾', 'ICE经销商', '腾讯效果广告']",2022-05-03 08:21:05,2022-05-03 08:21:09,46278
5,14190,北京真浩泰汽车销售有限公司,2100900,4S店,北京市石景山区古城大街（特钢公司厂内）北京国际汽车贸易服务园区F区8号,北京市,北京市,石景山区,110107,010-68865555,010-68866688,39.917041,116.182043,9:00-18:00,"['新能源', '自营', '市场活动', '售后业务全功能', '售后预约资源功能', '线上市场活动', '代理直销', '智慧网销', 'MEB快捷签', 'ICE快捷签', 'NGA智慧网销', '试乘试驾新UI', 'NGA经销商端小程序标签', 'ICE小程序标签', '深度试驾', 'ICE经销商', '腾讯效果广告']",2022-05-03 08:21:05,2022-05-03 08:21:09,46278
6,14191,北京车谷汽车销售有限公司,2101601,4S店,北京市大兴区大兴工业开发区金苑路15号,北京市,北京市,大兴区,110115,010-69261648,010-61273856,39.759729,116.350801,9:00-18:00,"['新能源', '自营', '市场活动', '售后业务全功能', '售后预约资源功能', '线上市场活动', '代理直销', '智慧网销', 'MEB快捷签', 'ICE快捷签', 'NGA智慧网销', '试乘试驾新UI', 'NGA经销商端小程序标签', 'ICE小程序标签', '深度试驾', 'ICE经销商', '腾讯效果广告']",2022-05-03 08:21:05,2022-05-03 08:21:09,46278
7,14192,北京德驿通程汽车销售服务有限公司,2101401,4S店,北京市密云县新南路37号,北京市,北京市,密云区,110118,010-69051888,010-69058888,40.377327,116.868588,9:00-18:00,"['新能源', '自营', '市场活动', '售后业务全功能', '售后预约资源功能', '线上市场活动', '代理直销', '智慧网销', 'MEB快捷签', 'ICE快捷签', 'NGA智慧网销', '试乘试驾新UI', 'NGA经销商端小程序标签', 'ICE小程序标签', '深度试驾', 'ICE经销商', '腾讯效果广告']",2022-05-03 08:21:05,2022-05-03 08:21:09,46278
8,14193,北京东方华晟汽车销售服务有限公司,2101101,4S店,北京市通州区梨园云景东路88号,北京市,北京市,通州区,110112,010-81538888,010-81535588,39.865998,116.662356,9:00-18:00,"['新能源', '自营', '市场活动', '售后业务全功能', '售后预约资源功能', '线上市场活动', '代理直销', '智慧网销', 'MEB快捷签', 'ICE快捷签', 'NGA智慧网销', '试乘试驾新UI', 'NGA经销商端小程序标签', 'ICE小程序标签', '深度试驾', 'ICE经销商', '腾讯效果广告']",2022-05-03 08:21:05,2022-05-03 08:21:09,46278
9,14194,北京富熙博林汽车销售服务有限公司,2101201,4S店,北京市顺义区仁和地区梅沟营村西,北京市,北京市,顺义区,110113,010-69447853,010-69448888,40.115575,116.633536,9:00-18:00,"['新能源', '自营', '市场活动', '售后业务全功能', '售后预约资源功能', '线上市场活动', '代理直销', '智慧网销', 'MEB快捷签', 'ICE快捷签', 'NGA智慧网销', '试乘试驾新UI', 'NGA经销商端小程序标签', 'ICE小程序标签', '深度试驾', 'ICE经销商', '腾讯效果广告']",2022-05-03 08:21:05,2022-05-03 08:21:09,46278
